SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,India,IND,,,,23.8,,Ministry of Statistics and Programme Implementation,2024-01-23
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Indonesia,IDN,,,,66.2233429352676,,BPS-Statistics Indonesia,2024-01-23
8818,HHA4213-%_HH-NOCHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2018,Indonesia,IDN,Location,No Children,Urban,70.90419390575605,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),2026-07-05
8820,HHA4213-%_HH-URBAN-,HH06 - Households with Internet access at home - %_HH - URBAN,% of households,ITU Households Database,2018,Indonesia,IDN,Location,Urban,,78.08004885808131,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),2026-07-05
8810,HHA4213-%_HH-CHILDREN-,HH06 - Households with Internet access at home - %_HH - CHILDREN,% of households,ITU Households Database,2018,Indonesia,IDN,Family,Children,,70.4002182802411,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),2024-07-08
8816,HHA4213-%_HH-NOCHILDREN-,HH06 - Households with Internet access at home - %_HH - NOCHILDREN,% of households,ITU Households Database,2018,Indonesia,IDN,Family,No Children,,59.45811294322449,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),2026-07-05
8819,HHA4213-%_HH-RURAL-,HH06 - Households with Internet access at home - %_HH - RURAL,% of households,ITU Households Database,2018,Indonesia,IDN,Location,Rural,,51.899338424366704,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),2026-07-06
8812,HHA4213-%_HH-CHILDREN-URBAN,HH06 - Households with Internet access at home - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2018,Indonesia,IDN,Location,Children,Urban,82.89865266512217,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),2026-07-05
8817,HHA4213-%_HH-NOCHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2018,Indonesia,IDN,Location,No Children,Rural,43.921332948536204,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),2026-07-05
8811,HHA4213-%_HH-CHILDREN-RURAL,HH06 - Households with Internet access at home - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2018,Indonesia,IDN,Location,Children,Rural,56.339429962373764,,BADAN PUSAT STATISTIK (STATISTICS INDONESIA),2026-07-06
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Ireland,IRL,,,,88.9999886761259,,Central Statistics Office,2024-01-23
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Iran (Islamic Republic of),IRN,,,,79.371004012873,HH6. Proportion of households with Internet is 79.37%,Statistical Centre of Iran (SCI),2024-01-23
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Iraq,IRQ,,,,65.366710246809,,ITU estimate,2021-11-29
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Iceland,ISL,,,,95.4685902932048,,ITU estimate,2021-11-29
12047,xHH6_IDI,Estimated proportion of households with Internet access at home,% of households,ITU World Telecommunication Indicators Database,2018,Israel,ISR,,,,74.9391031771372,,Central Bureau of Statistics,2024-01-23
