"MUNICIPIO","TIPO DE EMPRESA","ENTIDAD","TIENE RESIDUOS POSTCONSUMO EN SU CASA?","DONDE ENTREGA LOS RESIDUOS","SABE QUE SIGNIFICA LA SIGLA RAEE","HA PARTICIPADO EN LAS JORNADAS DE RECOLECCION DE RESIDUOS POSTCONSUMO RAEE","COMO SE ENTERARON DE ESTA JORNADA","HA USADO APLICACIONES","UTILIZARIA UNA APP PARA RAEE?"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","INSTITUTO SALESIANO SAN JUAN BOSCO","SI","LOS ENTREGA A LA EMPRESA DEL ASEO","SI","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","DESEMPLEADO","DESEMPLEADO","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","NO","No"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","ES UNA PÁGINA","SI","LOS DEJO EN CASA","NO","NO","NO SABIA QUE EXISTE","NO","No me interesa el tema"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","SI","LOS REGALA A UN FAMILIAR, AMIGO O VECINO","SI","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","MI CASA","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","NO SABIA QUE EXISTE","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS ENTREGA A LA EMPRESA DEL ASEO","SI","NO","INFORMACIÓN DIRECTA","SI","Sí"
"CÚCUTA","DESEMPLEADO","NO TENGO TRABAJO","NO","LOS VENDE A UNA EMPRESA RECICLADORA, LOS REGALA A UN FAMILIAR, AMIGO O VECINO","NO","NO","REDES SOCIALES","NO","No"
"CÚCUTA","PÚBLICA","GREMIOS UNIDOS","NO","LOS DEJO EN CASA","NO","NO","REDES SOCIALES","NO","Sí"
"CÚCUTA","TRABAJADOR INDEPENDIENTE","NO TENGO TRABAJO","SI","LOS DEJO EN CASA","SI","NO","INFORMACIÓN DIRECTA","NO","No me interesa el tema"
