SeriesID,SeriesCode,Series,Unit,Database,Year,AreaName,AreaCode,DisaggregationGroup,Disaggregation1,Disaggregation2,Value,Notes,Source,LastModifiedOn
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,,,,71.744211297789,,Ministriy of Sceience and ICT(MSIT),2024-07-08
8906,HHA422-%_HH-CHILDREN-,HH04 - Households with a computer - %_HH - CHILDREN,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,Family,Children,,94.19403979077175,,Ministriy of Sceience and ICT(MSIT),2026-07-06
8913,HHA422-%_HH-NOCHILDREN-RURAL,HH04 - Households with a computer - %_HH - NOCHILDREN - RURAL,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,Location,No Children,Rural,53.8194637686491,,Ministriy of Sceience and ICT(MSIT),2024-07-08
8908,HHA422-%_HH-CHILDREN-URBAN,HH04 - Households with a computer - %_HH - CHILDREN - URBAN,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,Location,Children,Urban,93.99478240033208,,Ministriy of Sceience and ICT(MSIT),2026-07-05
8915,HHA422-%_HH-RURAL-,HH04 - Households with a computer - %_HH - RURAL,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,Location,Rural,,60.16358851144208,,Ministriy of Sceience and ICT(MSIT),2026-07-06
8912,HHA422-%_HH-NOCHILDREN-,HH04 - Households with a computer - %_HH - NOCHILDREN,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,Family,No Children,,65.89535294274326,,Ministriy of Sceience and ICT(MSIT),2026-07-05
8907,HHA422-%_HH-CHILDREN-RURAL,HH04 - Households with a computer - %_HH - CHILDREN - RURAL,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,Location,Children,Rural,95.43248095119064,,Ministriy of Sceience and ICT(MSIT),2026-07-06
8914,HHA422-%_HH-NOCHILDREN-URBAN,HH04 - Households with a computer - %_HH - NOCHILDREN - URBAN,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,Location,No Children,Urban,68.9282211175547,,Ministriy of Sceience and ICT(MSIT),2024-07-08
8916,HHA422-%_HH-URBAN-,HH04 - Households with a computer - %_HH - URBAN,% of households,ITU Households Database,2019,Korea (Rep. of),KOR,Location,Urban,,74.42354735017398,,Ministriy of Sceience and ICT(MSIT),2026-07-05
8917,HHA422-%_HH--,HH04 - Households with a computer - %_HH,% of households,ITU Households Database,2019,Kuwait,KWT,,,,84,,Communication and Information Technology Regulatory Authority,2024-07-08
