departamento,anio,indicador,valor,nivel,fuente,unidad
RISARALDA,2021,pct_hogares_internet,72.8,nacional,DANE_ENTIC_Hogares,%
SAN ANDRÉS,2021,pct_hogares_computador_tablet,37.9,nacional,DANE_ENTIC_Hogares,%
SAN ANDRÉS,2021,pct_hogares_internet,41.3,nacional,DANE_ENTIC_Hogares,%
SANTANDER,2021,pct_hogares_computador_tablet,35.7,nacional,DANE_ENTIC_Hogares,%
SANTANDER,2021,pct_hogares_internet,64.1,nacional,DANE_ENTIC_Hogares,%
SUCRE,2021,pct_hogares_computador_tablet,17.7,nacional,DANE_ENTIC_Hogares,%
SUCRE,2021,pct_hogares_internet,37.5,nacional,DANE_ENTIC_Hogares,%
TOLIMA,2021,pct_hogares_computador_tablet,34.1,nacional,DANE_ENTIC_Hogares,%
TOLIMA,2021,pct_hogares_internet,67.0,nacional,DANE_ENTIC_Hogares,%
VALLE DEL CAUCA,2021,pct_hogares_computador_tablet,41.7,nacional,DANE_ENTIC_Hogares,%
VALLE DEL CAUCA,2021,pct_hogares_internet,79.0,nacional,DANE_ENTIC_Hogares,%
VAUPÉS,2021,pct_hogares_computador_tablet,9.9,nacional,DANE_ENTIC_Hogares,%
VAUPÉS,2021,pct_hogares_internet,10.6,nacional,DANE_ENTIC_Hogares,%
VICHADA,2021,pct_hogares_computador_tablet,5.0,nacional,DANE_ENTIC_Hogares,%
VICHADA,2021,pct_hogares_internet,4.6,nacional,DANE_ENTIC_Hogares,%
TOTAL NACIONAL,2024,pct_hogares_computador_tablet,35.7,nacional,DANE_ENTIC_Hogares,%
TOTAL NACIONAL,2024,pct_hogares_internet,65.6,nacional,DANE_ENTIC_Hogares,%
AMAZONAS,2024,pct_hogares_computador_tablet,18.4,nacional,DANE_ENTIC_Hogares,%
AMAZONAS,2024,pct_hogares_internet,41.3,nacional,DANE_ENTIC_Hogares,%
ANTIOQUIA,2024,pct_hogares_computador_tablet,40.3,nacional,DANE_ENTIC_Hogares,%
ANTIOQUIA,2024,pct_hogares_internet,66.9,nacional,DANE_ENTIC_Hogares,%
ARAUCA,2024,pct_hogares_computador_tablet,12.9,nacional,DANE_ENTIC_Hogares,%
ARAUCA,2024,pct_hogares_internet,34.3,nacional,DANE_ENTIC_Hogares,%
ATLÁNTICO,2024,pct_hogares_computador_tablet,36.9,nacional,DANE_ENTIC_Hogares,%
ATLÁNTICO,2024,pct_hogares_internet,58.9,nacional,DANE_ENTIC_Hogares,%
BOGOTÁ D.C.,2024,pct_hogares_computador_tablet,60.9,nacional,DANE_ENTIC_Hogares,%
BOGOTÁ D.C.,2024,pct_hogares_internet,82.7,nacional,DANE_ENTIC_Hogares,%
BOLÍVAR,2024,pct_hogares_computador_tablet,19.8,nacional,DANE_ENTIC_Hogares,%
BOLÍVAR,2024,pct_hogares_internet,60.2,nacional,DANE_ENTIC_Hogares,%
BOYACÁ,2024,pct_hogares_computador_tablet,31.6,nacional,DANE_ENTIC_Hogares,%
BOYACÁ,2024,pct_hogares_internet,60.6,nacional,DANE_ENTIC_Hogares,%
CALDAS,2024,pct_hogares_computador_tablet,40.5,nacional,DANE_ENTIC_Hogares,%
CALDAS,2024,pct_hogares_internet,66.9,nacional,DANE_ENTIC_Hogares,%
CAQUETÁ,2024,pct_hogares_computador_tablet,20.4,nacional,DANE_ENTIC_Hogares,%
CAQUETÁ,2024,pct_hogares_internet,62.0,nacional,DANE_ENTIC_Hogares,%
CASANARE,2024,pct_hogares_computador_tablet,23.7,nacional,DANE_ENTIC_Hogares,%
CASANARE,2024,pct_hogares_internet,71.0,nacional,DANE_ENTIC_Hogares,%
CAUCA,2024,pct_hogares_computador_tablet,22.7,nacional,DANE_ENTIC_Hogares,%
CAUCA,2024,pct_hogares_internet,49.0,nacional,DANE_ENTIC_Hogares,%
CESAR,2024,pct_hogares_computador_tablet,22.1,nacional,DANE_ENTIC_Hogares,%
CESAR,2024,pct_hogares_internet,64.5,nacional,DANE_ENTIC_Hogares,%
CHOCÓ,2024,pct_hogares_computador_tablet,13.5,nacional,DANE_ENTIC_Hogares,%
CHOCÓ,2024,pct_hogares_internet,28.7,nacional,DANE_ENTIC_Hogares,%
CÓRDOBA,2024,pct_hogares_computador_tablet,17.0,nacional,DANE_ENTIC_Hogares,%
CÓRDOBA,2024,pct_hogares_internet,47.2,nacional,DANE_ENTIC_Hogares,%
CUNDINAMARCA,2024,pct_hogares_computador_tablet,38.7,nacional,DANE_ENTIC_Hogares,%
CUNDINAMARCA,2024,pct_hogares_internet,66.9,nacional,DANE_ENTIC_Hogares,%
GUAINÍA,2024,pct_hogares_computador_tablet,11.7,nacional,DANE_ENTIC_Hogares,%
GUAINÍA,2024,pct_hogares_internet,31.5,nacional,DANE_ENTIC_Hogares,%
GUAVIARE,2024,pct_hogares_computador_tablet,24.5,nacional,DANE_ENTIC_Hogares,%
GUAVIARE,2024,pct_hogares_internet,57.6,nacional,DANE_ENTIC_Hogares,%
HUILA,2024,pct_hogares_computador_tablet,25.4,nacional,DANE_ENTIC_Hogares,%
HUILA,2024,pct_hogares_internet,70.8,nacional,DANE_ENTIC_Hogares,%
LA GUAJIRA,2024,pct_hogares_computador_tablet,11.5,nacional,DANE_ENTIC_Hogares,%
LA GUAJIRA,2024,pct_hogares_internet,30.1,nacional,DANE_ENTIC_Hogares,%
MAGDALENA,2024,pct_hogares_computador_tablet,15.8,nacional,DANE_ENTIC_Hogares,%
MAGDALENA,2024,pct_hogares_internet,55.1,nacional,DANE_ENTIC_Hogares,%
META,2024,pct_hogares_computador_tablet,34.2,nacional,DANE_ENTIC_Hogares,%
META,2024,pct_hogares_internet,77.0,nacional,DANE_ENTIC_Hogares,%
NARIÑO,2024,pct_hogares_computador_tablet,19.3,nacional,DANE_ENTIC_Hogares,%
NARIÑO,2024,pct_hogares_internet,54.6,nacional,DANE_ENTIC_Hogares,%
NORTE DE SANTANDER,2024,pct_hogares_computador_tablet,30.0,nacional,DANE_ENTIC_Hogares,%
NORTE DE SANTANDER,2024,pct_hogares_internet,60.5,nacional,DANE_ENTIC_Hogares,%
PUTUMAYO,2024,pct_hogares_computador_tablet,16.8,nacional,DANE_ENTIC_Hogares,%
PUTUMAYO,2024,pct_hogares_internet,38.6,nacional,DANE_ENTIC_Hogares,%
QUINDÍO,2024,pct_hogares_computador_tablet,36.8,nacional,DANE_ENTIC_Hogares,%
QUINDÍO,2024,pct_hogares_internet,63.4,nacional,DANE_ENTIC_Hogares,%
RISARALDA,2024,pct_hogares_computador_tablet,32.6,nacional,DANE_ENTIC_Hogares,%
RISARALDA,2024,pct_hogares_internet,73.0,nacional,DANE_ENTIC_Hogares,%
SAN ANDRÉS,2024,pct_hogares_computador_tablet,37.5,nacional,DANE_ENTIC_Hogares,%
SAN ANDRÉS,2024,pct_hogares_internet,57.6,nacional,DANE_ENTIC_Hogares,%
SANTANDER,2024,pct_hogares_computador_tablet,37.3,nacional,DANE_ENTIC_Hogares,%
SANTANDER,2024,pct_hogares_internet,65.2,nacional,DANE_ENTIC_Hogares,%
SUCRE,2024,pct_hogares_computador_tablet,15.1,nacional,DANE_ENTIC_Hogares,%
SUCRE,2024,pct_hogares_internet,46.4,nacional,DANE_ENTIC_Hogares,%
TOLIMA,2024,pct_hogares_computador_tablet,30.2,nacional,DANE_ENTIC_Hogares,%
TOLIMA,2024,pct_hogares_internet,76.5,nacional,DANE_ENTIC_Hogares,%
VALLE DEL CAUCA,2024,pct_hogares_computador_tablet,36.7,nacional,DANE_ENTIC_Hogares,%
VALLE DEL CAUCA,2024,pct_hogares_internet,73.4,nacional,DANE_ENTIC_Hogares,%
VAUPÉS,2024,pct_hogares_computador_tablet,10.7,nacional,DANE_ENTIC_Hogares,%
VAUPÉS,2024,pct_hogares_internet,26.5,nacional,DANE_ENTIC_Hogares,%
VICHADA,2024,pct_hogares_computador_tablet,4.6,nacional,DANE_ENTIC_Hogares,%
VICHADA,2024,pct_hogares_internet,15.4,nacional,DANE_ENTIC_Hogares,%
Total nacional,2018,pct_personas_usan_computador,44.61658122,nacional,DANE_ECV,%
